location,bath,balcony,price,total_sqft_int,bhk,price_per_sqft
 Devarabeesana Halli,3,2,150,1672,3,8971.291866
 Devarabeesana Halli,3,3,149,1750,3,8514.285714
 Devarabeesana Halli,3,2,150,1750,3,8571.428571
 Devarachikkanahalli,2,2,40,1250,2,3200
 Devarachikkanahalli,2,2,83,1200,2,6916.666667
 Devarachikkanahalli,2,2,40,1170,2,3418.803419
 Devarachikkanahalli,2,2,65,1425,3,4561.403509
 Devarachikkanahalli,2,2,43,947,2,4540.654699
 Devarachikkanahalli,2,2,36,1130,2,3185.840708
 Devarachikkanahalli,2,2,76,1417,3,5363.443896
 Devarachikkanahalli,2,1,58,1230,2,4715.447154
 Devarachikkanahalli,3,2,75,1705,3,4398.826979
 Devarachikkanahalli,2,1,47,1116,2,4211.469534
 Devarachikkanahalli,2,2,40,991,2,4036.326942
 Electronic City,1,1,27,550,1,4909.090909
 Mysore Highway,2,2,70,1450,3,4827.586207
 Mysore Highway,1,1,25.5,700,1,3642.857143
 Rachenahalli,1,0,28,440,1,6363.636364
 Thanisandra,1,0,25.25,510,1,4950.980392
 Thanisandra,1,1,25.25,510,1,4950.980392
 south,2,0,480,2400,3,20000
1st Block BEL Layout,3,2,85,1540,3,5519.480519
1st Block HBR Layout,1,0,45,600,1,7500
1st Block HBR Layout,4,2,150,3150,4,4761.904762
1st Block HRBR Layout,2,1,67,1250,2,5360
1st Block Jayanagar,4,1,428,2850,4,15017.54386
1st Block Jayanagar,3,2,194,1630,3,11901.84049
1st Block Jayanagar,2,3,235,1875,3,12533.33333
1st Block Jayanagar,2,0,130,1200,3,10833.33333
1st Block Jayanagar,2,2,148,1235,2,11983.80567
1st Block Jayanagar,4,0,413,2750,4,15018.18182
1st Block Jayanagar,4,2,368,2450,4,15020.40816
1st Block Koramangala,2,3,110,1415,2,7773.85159
1st Block Koramangala,2,2,65.5,860,2,7616.27907
1st Block Koramangala,3,3,300,3000,4,10000
1st Block Koramangala,3,2,210,2350,3,8936.170213
1st Block Koramangala,2,2,45,1000,2,4500
1st Block Koramangala,5,3,500,3000,4,16666.66667
1st Phase JP Nagar,3,1,167,1875,3,8906.666667
1st Phase JP Nagar,4,1,210,2065,3,10169.49153
1st Phase JP Nagar,3,2,225,2059,3,10927.63477
1st Phase JP Nagar,2,1,100,1394,2,7173.601148
1st Phase JP Nagar,2,2,93,1077,2,8635.097493
1st Phase JP Nagar,2,0,180,1566,2,11494.25287
1st Phase JP Nagar,2,2,50,840,1,5952.380952
1st Phase JP Nagar,3,3,131,1590,3,8238.993711
1st Phase JP Nagar,3,2,210,2180,3,9633.027523
1st Phase JP Nagar,2,2,88.5,1180,2,7500
1st Phase JP Nagar,2,1.584375738,86,1200,2,7166.666667
1st Phase JP Nagar,2,2,85,1394,2,6097.560976
1st Phase JP Nagar,3,3,175,2077,3,8425.613866
1st Phase JP Nagar,2,1,85,1205,2,7053.941909
1st Phase JP Nagar,2,1,75,900,2,8333.333333
1st Stage Indira Nagar,2,1,67,1400,2,4785.714286
1st Stage Indira Nagar,2,2,55,1200,2,4583.333333
1st Stage Indira Nagar,2,1,56,940,2,5957.446809
1st Stage Indira Nagar,4,2,301,3000,4,10033.33333
2nd Block Hrbr Layout,3,2,90,1480,3,6081.081081
2nd Block Hrbr Layout,3,2,90,1480,3,6081.081081
2nd Block Hrbr Layout,3,3,110,1550,3,7096.774194
2nd Block Jayanagar,3,3,223,1718,3,12980.20955
2nd Block Jayanagar,2,1,97,1000,2,9700
2nd Phase JP Nagar,4,2,200,2800,5,7142.857143
2nd Phase JP Nagar,1,1,55,1000,2,5500
2nd Phase JP Nagar,2,2,78,1040,2,7500
2nd Phase JP Nagar,2,1,42.5,850,2,5000
2nd Phase Judicial Layout,2,1,50.75,1450,3,3500
2nd Phase Judicial Layout,2,1,40.25,1150,2,3500
2nd Phase Judicial Layout,2,2,47.25,1350,3,3500
2nd Phase Judicial Layout,2,2,47.25,1350,3,3500
