location,bath,balcony,price,total_sqft_int,bhk,price_per_sqft
 Devarabeesana Halli,3.0,2.0,150.0,1672.0,3,8971.291866028709
 Devarabeesana Halli,3.0,3.0,149.0,1750.0,3,8514.285714285714
 Devarabeesana Halli,3.0,2.0,150.0,1750.0,3,8571.42857142857
 Devarachikkanahalli,2.0,2.0,40.0,1250.0,2,3200.0
 Devarachikkanahalli,2.0,2.0,83.0,1200.0,2,6916.666666666667
 Devarachikkanahalli,2.0,2.0,40.0,1170.0,2,3418.803418803419
 Devarachikkanahalli,2.0,2.0,65.0,1425.0,3,4561.403508771929
 Devarachikkanahalli,2.0,2.0,43.0,947.0,2,4540.654699049631
 Devarachikkanahalli,2.0,2.0,36.0,1130.0,2,3185.8407079646017
 Devarachikkanahalli,2.0,2.0,76.0,1417.0,3,5363.443895553987
 Devarachikkanahalli,2.0,1.0,58.0,1230.0,2,4715.447154471544
 Devarachikkanahalli,3.0,2.0,75.0,1705.0,3,4398.826979472141
 Devarachikkanahalli,2.0,1.0,47.0,1116.0,2,4211.469534050179
 Devarachikkanahalli,2.0,2.0,40.0,991.0,2,4036.326942482341
 Electronic City,1.0,1.0,27.0,550.0,1,4909.090909090909
 Mysore Highway,2.0,2.0,70.0,1450.0,3,4827.586206896552
 Mysore Highway,1.0,1.0,25.5,700.0,1,3642.8571428571427
 Rachenahalli,1.0,0.0,28.0,440.0,1,6363.636363636364
 Thanisandra,1.0,0.0,25.25,510.0,1,4950.980392156863
 Thanisandra,1.0,1.0,25.25,510.0,1,4950.980392156863
 south,2.0,0.0,480.0,2400.0,3,20000.0
1st Block BEL Layout,3.0,2.0,85.0,1540.0,3,5519.480519480519
1st Block HBR Layout,1.0,0.0,45.0,600.0,1,7500.0
1st Block HBR Layout,4.0,2.0,150.0,3150.0,4,4761.9047619047615
1st Block HRBR Layout,2.0,1.0,67.0,1250.0,2,5360.0
1st Block Jayanagar,4.0,1.0,428.0,2850.0,4,15017.543859649122
1st Block Jayanagar,3.0,2.0,194.0,1630.0,3,11901.840490797545
1st Block Jayanagar,2.0,3.0,235.0,1875.0,3,12533.333333333334
1st Block Jayanagar,2.0,0.0,130.0,1200.0,3,10833.333333333334
1st Block Jayanagar,2.0,2.0,148.0,1235.0,2,11983.805668016194
1st Block Jayanagar,4.0,0.0,413.0,2750.0,4,15018.181818181818
1st Block Jayanagar,4.0,2.0,368.0,2450.0,4,15020.408163265307
1st Block Koramangala,2.0,3.0,110.0,1415.0,2,7773.851590106007
1st Block Koramangala,2.0,2.0,65.5,860.0,2,7616.279069767442
1st Block Koramangala,3.0,3.0,300.0,3000.0,4,10000.0
